id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-1078801,3.8727,I,Cs,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.890973756,6
mp-1975,0.1529,N,Tm,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.135953,-0.950748,0,-0.28312,2,0,0,13,2,2.27,1.095,1.9,1.25,0.01,3,6,-0.135953,0,0,0,1,2.39281673,6
mp-2175,2.2117,F,Tl,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.28502,-0.101507,-0.674544,-4.835747,2,1,10,14,3,1.96,1.3325,1.45,1.62,0.07,13,6,-0.101507,0,1,0,0,2.774107749,6
mp-24721,2.9163,H,Rb,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,-0.085375,-0.59217,0,0,1,0,0,0,1,3.03,1.66,2.2,0.82,-0.79,1,5,-0.085375,1,0,0,0,3.004081215,6
mp-22922,0.9522,Cl,Ag,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.157407,-2.086602,-0.298706,0,1,0,10,0,1,2.11,1.086666667,1.45,1.93,1.31,11,5,-0.157407,0,0,1,0,2.772662936,6
mp-1060281,3.5086,N,B,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.344701,-0.136603,0,0,2,1,0,0,3,1.92,0.41,0.84,2.04,1.6,13,2,-0.136603,0,1,0,0,1.309910999,6
mp-2114,0.151,N,Y,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.150727,-1.02449,-0.108691,0,2,0,1,0,2,2.32,1.04,1.9,1.22,0.28,3,5,-0.108691,0,0,1,0,2.448361342,6
mp-1000,1.593,Te,Ba,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.118967,-0.698605,0,0,2,0,0,0,2,2.68,1.49,2.15,0.89,-0.36,2,6,-0.118967,1,0,0,0,3.544919701,6
mp-1342,2.0906,O,Ba,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.118967,-0.698605,0,0,2,0,0,0,2,2.68,1.49,2.15,0.89,-0.36,2,6,-0.118967,1,0,0,0,2.790391573,6
mp-1232659,1.3105,O,Mn,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.191136,-1.99145,-0.26654,0,2,0,5,0,2,2.05,0.648333333,1.39,1.55,-0.21,7,4,-0.191136,0,0,1,0,2.198528108,6
mp-19006,0.1844,O,Mn,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.191136,-1.99145,-0.26654,0,2,0,5,0,2,2.05,0.648333333,1.39,1.55,-0.21,7,4,-0.191136,0,0,1,0,2.223630837,6
mp-22862,5.0037,Cl,Na,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,2.794063077,6
mp-1794,8.1681,O,Be,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.205744,0,0,0,2,0,0,0,2,1.53,0.59,0.96,1.57,1.42,2,2,-0.205744,1,0,0,0,1.824622001,6
mp-2201,0.4257,Se,Pb,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.357187,-0.141831,-0.902393,-5.592532,2,2,10,14,4,2.02,1.1225,1.46,2.33,0.86,14,6,-0.141831,0,1,0,0,3.090823292,6
mp-2853,0.4207,N,Ga,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.328019,-0.101634,-0.736204,0,2,1,10,0,3,1.87,0.76,1.22,1.81,0.15,13,4,-0.101634,0,1,0,0,2.135235003,6
mp-1265,4.4292,O,Mg,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.175427,-1.71897,0,0,2,0,0,0,2,1.73,0.86,1.41,1.31,0.78,2,3,-0.175427,1,0,0,0,2.097001199,6
mp-1820,2.2246,S,Yb,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.136989,-0.966137,0,-0.286408,2,0,0,14,2,2.26,1.084,1.87,1.1,-0.19,3,6,-0.136989,0,0,0,1,2.80255544,6
mp-23231,0.7304,Br,Ag,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.157407,-2.086602,-0.298706,0,1,0,10,0,1,2.11,1.086666667,1.45,1.93,1.31,11,5,-0.157407,0,0,1,0,2.892169411,6
mp-22898,3.8513,I,K,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.088815,-0.693776,0,0,1,0,0,0,1,2.75,1.52,2.03,0.82,-0.99,1,4,-0.088815,1,0,0,0,3.542435455,6
mp-19717,0.8063,Te,Pb,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.357187,-0.141831,-0.902393,-5.592532,2,2,10,14,4,2.02,1.1225,1.46,2.33,0.86,14,6,-0.141831,0,1,0,0,3.270896674,6
